Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.67067,-1.3074,1.2216,0,0,0,2.2144,0.0049485,0.00011139,1.218E-09,0.013487,-7.7759E-09,0.011268,0,0,0,0,0,0,package://Assem3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem3/meshes/base_link.STL,,bedo-1;TANK_assembly-2/Base_Tanque-1;TANK_assembly-2/Chassis_LH-9;TANK_assembly-2/Chassis_LH-2;TANK_assembly-2/Correa1-120^TANK_assembly-1;TANK_assembly-2/Correa1-120^TANK_assembly-3;radial ball bearing_68_iso-1;thrust ball bearing_68_iso-1;TANK_assembly-2/shock_suspension_bracket-24;TANK_assembly-2/socket head cap screw_am-2;TANK_assembly-2/shock_suspension_bracket-23;TANK_assembly-2/socket head cap screw_am-3;TANK_assembly-2/shock_suspension_bracket-25;TANK_assembly-2/socket head cap screw_am-4;TANK_assembly-2/socket head cap screw_am-5;TANK_assembly-2/hex nut style 1_am-5;TANK_assembly-2/hex nut style 1_am-4;TANK_assembly-2/hex nut style 1_am-3;TANK_assembly-2/hex nut style 1_am-2;TANK_assembly-2/socket head cap screw_am-17;TANK_assembly-2/Bearing_wheel_assembly-16/steel_connector-1;TANK_assembly-2/socket head cap screw_am-16;TANK_assembly-2/Bearing_wheel_assembly-19/steel_connector-1;TANK_assembly-2/socket head cap screw_am-15;TANK_assembly-2/Bearing_wheel_assembly-18/steel_connector-1;TANK_assembly-2/socket head cap screw_am-14;TANK_assembly-2/Bearing_wheel_assembly-20/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-17/steel_connector-1;TANK_assembly-2/shock_suspension_bracket-22;TANK_assembly-2/shock_suspension_bracket-5;TANK_assembly-2/socket head cap screw_am-9;TANK_assembly-2/shock_suspension_bracket-6;TANK_assembly-2/socket head cap screw_am-8;TANK_assembly-2/shock_suspension_bracket-14;TANK_assembly-2/socket head cap screw_am-7;TANK_assembly-2/shock_suspension_bracket-8;TANK_assembly-2/socket head cap screw_am-6;TANK_assembly-2/hex nut style 1_am-6;TANK_assembly-2/socket head cap screw_am-10;TANK_assembly-2/socket head cap screw_am-11;TANK_assembly-2/hex nut style 1_am-7;TANK_assembly-2/hex nut style 1_am-8;TANK_assembly-2/socket head cap screw_am-12;TANK_assembly-2/hex nut style 1_am-9;TANK_assembly-2/socket head cap screw_am-13;TANK_assembly-2/Bearing_wheel_assembly-4/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-3/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-2/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-1/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-10/steel_connector-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
banhtrai_link,0.00400682405335862,0.000437047278946778,-0.0487562336110627,0,0,0,0.0456820450588156,1.08336470276462E-05,-2.81300556141794E-09,3.03411189366392E-07,1.08860264603384E-05,3.36772378971353E-08,4.07972575557306E-06,0,0,0,0,0,0,package://Assem3/meshes/banhtrai_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://Assem3/meshes/banhtrai_link.STL,,TANK_assembly-2/Motor_Tank-2;TANK_assembly-2/Driving_wheel_assembly-1/driving_wheel_coupling-1;TANK_assembly-2/Driving_wheel_assembly-1/Bearing_wheel-1;TANK_assembly-2/Driving_wheel_assembly-1/17mm_coupling-2;TANK_assembly-2/Driving_wheel_assembly-1/socket head cap screw_am-2;TANK_assembly-2/Driving_wheel_assembly-1/pan cross head_am-1;TANK_assembly-2/Driving_wheel_assembly-1/socket head cap screw_am-5;TANK_assembly-2/Driving_wheel_assembly-1/socket head cap screw_am-4;TANK_assembly-2/Driving_wheel_assembly-1/17mm_coupling-3;TANK_assembly-2/Driving_wheel_assembly-1/Driving-1;TANK_assembly-2/Driving_wheel_assembly-1/17mm_coupling-1;TANK_assembly-2/Driving_wheel_assembly-1/socket head cap screw_am-9;TANK_assembly-2/Driving_wheel_assembly-1/socket head cap screw_am-8;TANK_assembly-2/Driving_wheel_assembly-1/socket head cap screw_am-7,Coordinate System4,,banhtrai_joint,continuous,0.78773,-1.2452,1.3549,0,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
banhphai_link,-0.00400704355806836,0.000436659035859543,-0.0487562336110625,0,0,0,0.0456820450588157,1.08336099290079E-05,2.79068435633189E-09,-3.03415674925822E-07,1.08860635589768E-05,3.36693041840455E-08,4.07972575557307E-06,0,0,0,0,0,0,package://Assem3/meshes/banhphai_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem3/meshes/banhphai_link.STL,,TANK_assembly-2/Driving_wheel_assembly-3/Bearing_wheel-1;TANK_assembly-2/Driving_wheel_assembly-3/driving_wheel_coupling-1;TANK_assembly-2/Driving_wheel_assembly-3/socket head cap screw_am-7;TANK_assembly-2/Driving_wheel_assembly-3/pan cross head_am-1;TANK_assembly-2/Driving_wheel_assembly-3/socket head cap screw_am-9;TANK_assembly-2/Driving_wheel_assembly-3/socket head cap screw_am-8;TANK_assembly-2/Driving_wheel_assembly-3/17mm_coupling-3;TANK_assembly-2/Driving_wheel_assembly-3/socket head cap screw_am-2;TANK_assembly-2/Driving_wheel_assembly-3/Driving-1;TANK_assembly-2/Driving_wheel_assembly-3/17mm_coupling-2;TANK_assembly-2/Driving_wheel_assembly-3/socket head cap screw_am-5;TANK_assembly-2/Driving_wheel_assembly-3/socket head cap screw_am-4;TANK_assembly-2/Driving_wheel_assembly-3/17mm_coupling-1;TANK_assembly-2/Motor_Tank-4,Coordinate System3,,banhphai_joint,continuous,0.78773,-1.2452,1.0888,-3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar1,-9.81090980113342E-05,-7.86632071234639E-05,-0.0233757430939849,0,0,0,0.0120321696258943,2.21429956739321E-06,-3.38754040197516E-08,-4.84627810127783E-09,2.13896958886416E-06,-4.18985481333988E-09,3.87805434963059E-06,0,0,0,0,0,0,package://Assem3/meshes/lidar1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem3/meshes/lidar1.STL,,LD19_v2.step-2,Coordinate System5,,lidar1_joint,fixed,0.81921,-1.3394,1.2215,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar2,-9.81090984910615E-05,-7.84760076946167E-05,-0.0233757430942025,0,0,0,0.0120321696255135,2.21429956739262E-06,-3.38754039277243E-08,-4.8462780529843E-09,2.13896958875437E-06,-4.1898547719273E-09,3.87805434957188E-06,0,0,0,0,0,0,package://Assem3/meshes/lidar2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem3/meshes/lidar2.STL,,LD19_v2.step-1,Coordinate System6,,lidar2_joint,fixed,0.51624,-1.3394,1.2215,-1.5708,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
dexoay,-0.0111840663246576,-0.000397927463946957,0.0721453085109889,0,0,0,1.63779919828344,0.00527131111946405,-3.80278499351686E-06,-0.00012052168192569,0.00605811931475433,3.41823981540056E-05,0.00720082451887053,0,0,0,0,0,0,package://Assem3/meshes/dexoay.STL,1,1,1,1,0,0,0,0,0,0,package://Assem3/meshes/dexoay.STL,,dexoay-1;hopdung-1;angular contact ball bearing_68_iso-1;radial ball bearing_68_iso-2,Coordinate System1,Axis_dexoay_joint,dexoay_joint,revolute,0.67273,-1.3541,1.2215,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
khau1,-0.0397123060562481,0.109470151222893,-0.00636201236759915,0,0,0,0.904949608818617,0.00337901727314573,0.00111527429979691,2.65701472516975E-05,0.000760442135006913,-7.38411438316658E-05,0.00400282626548875,0,0,0,0,0,0,package://Assem3/meshes/khau1.STL,1,1,1,1,0,0,0,0,0,0,package://Assem3/meshes/khau1.STL,,sung-1;khop1real-1;khop1link-1,Coordinate System2,Axis_khau1_joint,khau1_joint,revolute,0,-0.0053,0.133,1.5691,1.5708,0,dexoay,0,-0.024356,0.9997,0,0,-1.57,1.57,,,,,,,,
camera,5.88417421254483E-06,-0.000167124615315872,-0.00661810342249647,0,0,0,0.00158755824793142,4.24210885299321E-08,-1.13679652972618E-10,-3.01968424602989E-11,5.00678341266988E-08,-6.60478014915613E-10,8.98826873388472E-08,0,0,0,0,0,0,package://Assem3/meshes/camera.STL,0.784313725490196,0.784313725490196,0.862745098039216,1,0,0,0,0,0,0,package://Assem3/meshes/camera.STL,,Arducam Hawkeye 64MP.step-1,Coordinate System7,,camera_joint,fixed,0.1018,0.00017264,0.039288,-1.5708,0,-1.5691,dexoay,0,0,0,,,,,,,,,,,,
phaitren,0.707862695274458,-1.21231369956406,1.10113489851071,0,0,0,0.0403514629228558,3.10689115429705E-06,1.7663345985264E-11,6.10351232123382E-12,3.10688772721674E-06,5.54005731192591E-12,4.45852161840228E-06,0,0,0,0,0,0,package://Assem3/meshes/phaitren.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Assem3/meshes/phaitren.STL,,TANK_assembly-2/Bearing_wheel_assembly-19/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-19/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-19/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-19/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-19/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-19/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-19/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-19/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-19/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-19/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-19/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-19/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-16/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-16/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-16/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-16/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-16/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-16/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-16/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-16/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-16/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-16/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-16/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-16/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-16/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-19/steel_connector-1,Origin_global,,phaitren_link,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
traitren,0.707862695274458,-1.21231369956406,1.34259882146583,0,0,0,0.0403514629228554,3.10689115429703E-06,1.76633459821565E-11,6.10351233966861E-12,3.10688772721672E-06,5.54005731780219E-12,4.45852161840225E-06,0,0,0,0,0,0,package://Assem3/meshes/traitren.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Assem3/meshes/traitren.STL,,TANK_assembly-2/Bearing_wheel_assembly-3/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-3/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-3/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-3/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-3/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-3/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-3/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-3/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-3/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-3/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-3/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-3/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-4/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-4/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-4/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-4/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-4/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-4/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-4/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-4/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-4/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-4/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-4/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-4/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-4/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-3/steel_connector-1,Origin_global,,traitren_link,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
traiduoi,0.59383058564317,-1.22435135188396,1.34259882146583,0,0,0,0.0605271943842827,4.66031817386938E-06,2.48252532874379E-11,6.08981986078025E-12,4.66035014840112E-06,1.10815066569522E-11,6.68778242760325E-06,0,0,0,0,0,0,package://Assem3/meshes/traiduoi.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Assem3/meshes/traiduoi.STL,,TANK_assembly-2/Bearing_wheel_assembly-10/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-10/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-10/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-10/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-10/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-10/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-10/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-10/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-10/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-10/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-10/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-10/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-2/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-2/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-2/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-2/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-2/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-2/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-2/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-2/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-2/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-2/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-2/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-2/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-1/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-1/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-1/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-1/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-1/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-1/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-1/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-1/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-1/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-1/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-1/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-1/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-10/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-1/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-2/steel_connector-1,Origin_global,,traiduoi_link,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
phaiduoi,0.59383058564317,-1.22435135188396,1.10113489851071,0,0,0,0.060527194384283,4.6603181738694E-06,2.48252532922949E-11,6.08981984375071E-12,4.66035014840114E-06,1.10815066493656E-11,6.68778242760329E-06,0,0,0,0,0,0,package://Assem3/meshes/phaiduoi.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Assem3/meshes/phaiduoi.STL,,TANK_assembly-2/Bearing_wheel_assembly-18/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-18/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-18/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-18/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-18/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-18/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-18/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-18/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-18/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-18/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-18/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-18/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-20/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-20/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-20/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-20/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-20/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-20/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-20/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-20/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-20/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-20/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-20/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-20/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-17/pan cross head_am-1;TANK_assembly-2/Bearing_wheel_assembly-17/socket head cap screw_am-9;TANK_assembly-2/Bearing_wheel_assembly-17/socket head cap screw_am-8;TANK_assembly-2/Bearing_wheel_assembly-17/socket head cap screw_am-7;TANK_assembly-2/Bearing_wheel_assembly-17/Driving-2;TANK_assembly-2/Bearing_wheel_assembly-17/Driving-1;TANK_assembly-2/Bearing_wheel_assembly-17/17mm_coupling-2;TANK_assembly-2/Bearing_wheel_assembly-17/socket head cap screw_am-2;TANK_assembly-2/Bearing_wheel_assembly-17/socket head cap screw_am-4;TANK_assembly-2/Bearing_wheel_assembly-17/17mm_coupling-1;TANK_assembly-2/Bearing_wheel_assembly-17/socket head cap screw_am-5;TANK_assembly-2/Bearing_wheel_assembly-17/17mm_coupling-3;TANK_assembly-2/Bearing_wheel_assembly-17/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-20/steel_connector-1;TANK_assembly-2/Bearing_wheel_assembly-18/steel_connector-1,Origin_global,,phaiduoi_link,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
